0,Singular,Plural,Difficulty Level
1,sheep,sheep,1
2,deer,deer,1
3,offspring,offspring,1
4,crossroads,crossroads,1
5,man,men,2
6,quiz,quizzes,2
7,shelf,shelves,2
8,wolf,wolves,2
9,leaf,leaves,2
10,life,lives,2
11,half,halves,2
12,self,selves,2
13,wife,wives,2
14,child,children,2
15,piano,pianos,2
16,photo,photos,2
17,species,species,2
18,series,series,2
19,fish,fish/fishes,2
20,quiz,quizzes,2
21,means,means,2
22,loaf,loaves,3
23,thief,thieves,3
24,calf,calves,3
25,knife,knives,3
26,wife,wives,3
27,woman,women,3
28,person,people,3
29,goose,geese,3
30,mouse,mice,3
31,tooth,teeth,4
32,foot,feet,4
33,ox,oxen,4
34,antenna,antennae/antennas,4
35,cactus,cacti,4
36,appendix,appendices,4
37,fungus,fungi,4
38,axis,axes,4
39,crisis,crises,4
40,thesis,theses,4
41,index,indices,4
42,larva,larvae,4
43,focus,foci,4
44,oasis,oases,4
45,diagnosis,diagnoses,4
46,analysis,analyses,4
47,parenthesis,parentheses,4
48,hypothesis,hypotheses,4
49,curriculum,curricula,5
50,memorandum,memoranda,5
51,formula,formulae/formulas,5
52,alga,algae,5
53,stimulus,stimuli,5
54,genus,genera,5
55,corpus,corpora,5
56,nucleus,nuclei,5
57,medium,media,5
58,datum,data,5
59,bacterium,bacteria,5
60,criterion,criteria,5
61,phenomenon,phenomena,5
62,symposium,symposia,5
